[2025/05/29 01:52:02] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 01:52:02] - 0.01 	 249.5 	 0.9754 	 0.1929 	 0.9179
[2025/05/29 01:56:12] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 01:56:12] - 0.02 	 249.8 	 0.9747 	 0.1851 	 0.9239
[2025/05/29 02:00:23] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 02:00:23] - 0.03 	 249.8 	 0.9762 	 0.1756 	 0.9216
[2025/05/29 02:04:34] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 02:04:34] - 0.04 	 249.8 	 0.9752 	 0.1904 	 0.9224
[2025/05/29 02:08:45] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 02:08:45] - 0.05 	 249.8 	 0.9764 	 0.1826 	 0.9203
[2025/05/29 02:12:56] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 02:12:56] - 0.06 	 249.9 	 0.9762 	 0.1244 	 0.9181
[2025/05/29 02:17:07] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 02:17:07] - 0.07 	 250.0 	 0.9772 	 0.1098 	 0.9220
[2025/05/29 02:21:17] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 02:21:17] - 0.08 	 249.8 	 0.9778 	 0.1687 	 0.9199
[2025/05/29 02:25:28] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 02:25:28] - 0.09 	 250.0 	 0.9772 	 0.2139 	 0.9216
[2025/05/29 02:29:40] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 02:29:40] - 0.10 	 250.2 	 0.9767 	 0.1528 	 0.9210
[2025/05/29 02:33:51] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 02:33:51] - 0.11 	 249.8 	 0.9773 	 0.2457 	 0.9223
[2025/05/29 02:38:03] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 02:38:03] - 0.12 	 251.1 	 0.9791 	 0.1166 	 0.9207
[2025/05/29 02:42:13] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 02:42:13] - 0.13 	 249.7 	 0.9794 	 0.2087 	 0.9188
[2025/05/29 02:46:24] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 02:46:24] - 0.14 	 249.9 	 0.9785 	 0.1970 	 0.9207
[2025/05/29 02:50:35] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 02:50:35] - 0.15 	 250.0 	 0.9808 	 0.2370 	 0.9188
[2025/05/29 02:54:46] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 02:54:46] - 0.16 	 250.1 	 0.9807 	 0.2171 	 0.9195
[2025/05/29 02:58:57] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 02:58:57] - 0.17 	 249.9 	 0.9805 	 0.2532 	 0.9231
[2025/05/29 03:03:09] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 03:03:09] - 0.18 	 250.6 	 0.9806 	 0.1196 	 0.9191
[2025/05/29 03:07:20] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 03:07:20] - 0.19 	 250.4 	 0.9825 	 0.2200 	 0.9208
[2025/05/29 03:11:31] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 03:11:31] - 0.20 	 250.0 	 0.9828 	 0.1992 	 0.9202
[2025/05/29 03:15:42] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 03:15:42] - 0.21 	 250.2 	 0.9829 	 0.1770 	 0.9218
[2025/05/29 03:19:53] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 03:19:53] - 0.22 	 249.9 	 0.9822 	 0.1224 	 0.9200
[2025/05/29 03:24:04] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 03:24:04] - 0.23 	 249.9 	 0.9827 	 0.1978 	 0.9207
[2025/05/29 03:28:15] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 03:28:15] - 0.24 	 250.1 	 0.9835 	 0.2882 	 0.9225
[2025/05/29 03:32:26] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 03:32:26] - 0.25 	 249.8 	 0.9835 	 0.1384 	 0.9191
[2025/05/29 03:36:37] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 03:36:37] - 0.26 	 249.8 	 0.9832 	 0.1289 	 0.9199
[2025/05/29 03:40:48] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 03:40:48] - 0.27 	 250.0 	 0.9837 	 0.2002 	 0.9196
[2025/05/29 03:44:59] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 03:44:59] - 0.28 	 250.0 	 0.9839 	 0.2402 	 0.9178
[2025/05/29 03:49:10] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 03:49:10] - 0.29 	 250.0 	 0.9859 	 0.2629 	 0.9197
[2025/05/29 03:53:20] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 03:53:20] - 0.30 	 249.9 	 0.9857 	 0.2657 	 0.9195
[2025/05/29 03:57:32] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 03:57:32] - 0.31 	 250.1 	 0.9868 	 0.2103 	 0.9191
[2025/05/29 04:01:43] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 04:01:43] - 0.32 	 250.0 	 0.9872 	 0.2212 	 0.9192
[2025/05/29 04:05:53] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 04:05:53] - 0.33 	 249.9 	 0.9875 	 0.2413 	 0.9193
