[2025/05/28 20:12:45] - Namespace(poison_target=0, trigger_alpha=1.0, batch_size=256, clb_dir='./data/clean-label/0.1/', poison_type='badnets')
[2025/05/28 20:16:36] - Namespace(poison_target=0, trigger_alpha=1.0, batch_size=256, clb_dir='./data/clean-label/0.1/', poison_type='badnets')
[2025/05/28 20:19:19] - Namespace(poison_target=0, trigger_alpha=1.0, batch_size=256, clb_dir='./data/clean-label/0.1/', poison_type='badnets')
[2025/05/28 20:19:22] - Epoch 	 lr 	 Time 	 TrainLoss 	 TrainACC 	 PoisonLoss 	 PoisonACC 	 CleanLoss 	 CleanACC
[2025/05/28 20:34:14] - Namespace(batch_size=256, clb_dir='./data/clean-label/0.1/', poison_target=0, poison_type='badnets', trigger_alpha=1.0)
[2025/05/28 20:34:16] - Epoch 	 lr 	 Time 	 TrainLoss 	 TrainACC 	 PoisonLoss 	 PoisonACC 	 CleanLoss 	 CleanACC
[2025/05/28 20:34:39] - 1 	 0.100 	 22.9 	 2.1119 	 0.2521 	 2.3686 	 0.1782 	 1.6850 	 0.3552
[2025/05/28 20:35:01] - 2 	 0.100 	 21.7 	 1.6191 	 0.4008 	 2.7356 	 0.0399 	 1.4079 	 0.4813
[2025/05/28 20:35:22] - 3 	 0.100 	 21.7 	 1.4261 	 0.4850 	 2.4524 	 0.0967 	 1.3240 	 0.5224
[2025/05/28 20:35:44] - 4 	 0.100 	 21.7 	 1.2568 	 0.5532 	 2.8173 	 0.0498 	 1.1790 	 0.5814
[2025/05/28 20:36:06] - 5 	 0.100 	 21.8 	 1.1131 	 0.6118 	 2.5856 	 0.0708 	 1.2366 	 0.5721
[2025/05/28 20:36:28] - 6 	 0.100 	 21.8 	 1.0209 	 0.6491 	 2.9404 	 0.0627 	 1.2278 	 0.5989
[2025/05/28 20:36:49] - 7 	 0.100 	 21.8 	 0.9306 	 0.6833 	 2.6480 	 0.0621 	 0.8904 	 0.6947
[2025/05/28 20:37:11] - 8 	 0.100 	 21.8 	 0.8168 	 0.7212 	 0.1162 	 0.9714 	 0.8000 	 0.7260
[2025/05/28 20:37:33] - 9 	 0.100 	 21.8 	 0.7132 	 0.7595 	 0.0087 	 0.9969 	 0.7668 	 0.7382
[2025/05/28 20:37:55] - 10 	 0.100 	 21.8 	 0.6466 	 0.7845 	 0.0040 	 0.9988 	 0.6917 	 0.7741
[2025/05/28 20:38:17] - 11 	 0.100 	 21.8 	 0.5939 	 0.8050 	 0.0000 	 1.0000 	 0.7573 	 0.7494
[2025/05/28 20:38:38] - 12 	 0.100 	 21.8 	 0.5523 	 0.8157 	 0.0000 	 1.0000 	 0.6274 	 0.7842
[2025/05/28 20:39:00] - 13 	 0.100 	 21.8 	 0.5230 	 0.8287 	 0.0000 	 1.0000 	 0.5216 	 0.8217
[2025/05/28 20:39:22] - 14 	 0.100 	 21.8 	 0.4897 	 0.8399 	 0.0000 	 1.0000 	 0.5278 	 0.8197
[2025/05/28 20:39:44] - 15 	 0.100 	 21.8 	 0.4668 	 0.8494 	 0.0000 	 1.0000 	 0.7095 	 0.7782
[2025/05/28 20:40:06] - 16 	 0.100 	 21.8 	 0.4519 	 0.8528 	 0.0000 	 1.0000 	 0.5286 	 0.8296
[2025/05/28 20:40:28] - 17 	 0.100 	 22.0 	 0.4332 	 0.8598 	 0.0019 	 0.9999 	 0.5777 	 0.8117
[2025/05/28 20:40:49] - 18 	 0.100 	 21.8 	 0.4199 	 0.8651 	 0.0000 	 1.0000 	 0.6024 	 0.8084
[2025/05/28 20:41:11] - 19 	 0.100 	 21.8 	 0.4160 	 0.8654 	 0.0000 	 1.0000 	 0.5944 	 0.8062
[2025/05/28 20:41:33] - 20 	 0.100 	 21.8 	 0.4070 	 0.8692 	 0.0000 	 1.0000 	 0.5105 	 0.8313
[2025/05/28 20:41:55] - 21 	 0.100 	 21.8 	 0.3900 	 0.8749 	 0.0000 	 1.0000 	 0.5926 	 0.8181
[2025/05/28 20:42:17] - 22 	 0.100 	 21.8 	 0.3884 	 0.8745 	 0.0000 	 1.0000 	 0.4671 	 0.8435
[2025/05/28 20:42:38] - 23 	 0.100 	 21.8 	 0.3746 	 0.8804 	 0.0000 	 1.0000 	 0.3930 	 0.8745
[2025/05/28 20:43:00] - 24 	 0.100 	 21.8 	 0.3691 	 0.8826 	 0.0000 	 1.0000 	 0.4807 	 0.8438
[2025/05/28 20:43:22] - 25 	 0.100 	 21.8 	 0.3735 	 0.8808 	 0.0000 	 1.0000 	 0.4835 	 0.8398
[2025/05/28 20:43:44] - 26 	 0.100 	 21.8 	 0.3552 	 0.8859 	 0.0001 	 1.0000 	 0.5764 	 0.8157
[2025/05/28 20:44:06] - 27 	 0.100 	 21.8 	 0.3487 	 0.8885 	 0.0004 	 1.0000 	 0.5202 	 0.8309
[2025/05/28 20:44:27] - 28 	 0.100 	 21.8 	 0.3376 	 0.8930 	 0.0000 	 1.0000 	 0.5451 	 0.8278
[2025/05/28 20:44:49] - 29 	 0.100 	 21.8 	 0.3340 	 0.8956 	 0.0016 	 1.0000 	 0.4873 	 0.8466
[2025/05/28 20:45:11] - 30 	 0.100 	 21.8 	 0.3473 	 0.8908 	 0.0301 	 0.9933 	 0.5386 	 0.8330
[2025/05/28 20:45:33] - 31 	 0.010 	 21.8 	 0.2276 	 0.9320 	 0.0000 	 1.0000 	 0.2536 	 0.9158
[2025/05/28 20:45:55] - 32 	 0.010 	 21.8 	 0.1851 	 0.9477 	 0.0000 	 1.0000 	 0.2458 	 0.9204
[2025/05/28 20:46:16] - 33 	 0.010 	 21.8 	 0.1698 	 0.9522 	 0.0001 	 1.0000 	 0.2436 	 0.9204
[2025/05/28 20:46:38] - 34 	 0.010 	 21.8 	 0.1567 	 0.9568 	 0.0001 	 1.0000 	 0.2405 	 0.9251
[2025/05/28 20:47:00] - 35 	 0.010 	 21.8 	 0.1493 	 0.9589 	 0.0003 	 1.0000 	 0.2474 	 0.9242
[2025/05/28 20:47:22] - 36 	 0.010 	 21.8 	 0.1405 	 0.9623 	 0.0004 	 1.0000 	 0.2441 	 0.9248
[2025/05/28 20:47:44] - 37 	 0.010 	 21.8 	 0.1306 	 0.9647 	 0.0000 	 1.0000 	 0.2531 	 0.9225
[2025/05/28 20:48:05] - 38 	 0.010 	 21.8 	 0.1259 	 0.9660 	 0.0000 	 1.0000 	 0.2533 	 0.9235
[2025/05/28 20:48:27] - 39 	 0.010 	 21.8 	 0.1243 	 0.9671 	 0.0004 	 1.0000 	 0.2617 	 0.9220
[2025/05/28 20:48:49] - 40 	 0.010 	 21.8 	 0.1151 	 0.9698 	 0.0001 	 1.0000 	 0.2598 	 0.9233
[2025/05/28 20:49:11] - 41 	 0.001 	 21.8 	 0.1047 	 0.9738 	 0.0001 	 1.0000 	 0.2553 	 0.9263
[2025/05/28 20:49:33] - 42 	 0.001 	 21.8 	 0.1015 	 0.9744 	 0.0002 	 1.0000 	 0.2544 	 0.9266
[2025/05/28 20:49:54] - 43 	 0.001 	 21.8 	 0.1013 	 0.9749 	 0.0001 	 1.0000 	 0.2557 	 0.9259
[2025/05/28 20:50:16] - 44 	 0.001 	 21.8 	 0.0993 	 0.9760 	 0.0002 	 1.0000 	 0.2566 	 0.9274
[2025/05/28 20:50:38] - 45 	 0.001 	 21.8 	 0.0996 	 0.9752 	 0.0001 	 1.0000 	 0.2577 	 0.9262
[2025/05/28 20:51:00] - 46 	 0.001 	 22.3 	 0.0984 	 0.9752 	 0.0001 	 1.0000 	 0.2545 	 0.9260
[2025/05/28 20:51:22] - 47 	 0.001 	 21.8 	 0.1004 	 0.9749 	 0.0003 	 1.0000 	 0.2541 	 0.9265
[2025/05/28 20:51:44] - 48 	 0.001 	 22.0 	 0.0995 	 0.9751 	 0.0002 	 1.0000 	 0.2550 	 0.9277
[2025/05/28 20:52:06] - 49 	 0.001 	 21.8 	 0.0947 	 0.9765 	 0.0002 	 1.0000 	 0.2555 	 0.9276
[2025/05/28 20:54:28] - Namespace(batch_size=256, clb_dir='./data/clean-label/0.1/', poison_target=0, poison_type='blend', trigger_alpha=0.2)
[2025/05/28 21:02:27] - Namespace(batch_size=256, clb_dir='./data/clean-label/0.1/', poison_target=0, poison_type='blend', trigger_alpha=0.2)
[2025/05/28 21:02:28] - STREAM b'IHDR' 16 13
[2025/05/28 21:02:28] - STREAM b'IDAT' 41 3115
[2025/05/28 21:02:50] - Namespace(batch_size=256, clb_dir='./data/clean-label/0.1/', poison_target=0, poison_type='blend', trigger_alpha=0.2)
[2025/05/28 21:02:52] - STREAM b'IHDR' 16 13
[2025/05/28 21:02:52] - STREAM b'IDAT' 41 3115
[2025/05/28 21:02:53] - Epoch 	 lr 	 Time 	 TrainLoss 	 TrainACC 	 PoisonLoss 	 PoisonACC 	 CleanLoss 	 CleanACC
[2025/05/28 21:03:16] - 1 	 0.100 	 22.8 	 2.0260 	 0.2793 	 2.0308 	 0.1597 	 1.6359 	 0.3887
[2025/05/28 21:03:37] - 2 	 0.100 	 21.6 	 1.5669 	 0.4234 	 1.8779 	 0.2877 	 1.4269 	 0.4772
[2025/05/28 21:03:59] - 3 	 0.100 	 21.7 	 1.3235 	 0.5185 	 1.6640 	 0.5148 	 1.3054 	 0.5409
[2025/05/28 21:04:21] - 4 	 0.100 	 21.7 	 1.0975 	 0.6090 	 0.0226 	 0.9928 	 1.2770 	 0.5491
[2025/05/28 21:04:42] - 5 	 0.100 	 21.7 	 0.9528 	 0.6580 	 0.0228 	 0.9920 	 0.9665 	 0.6641
[2025/05/28 21:05:04] - 6 	 0.100 	 21.7 	 0.8481 	 0.6992 	 0.0087 	 0.9979 	 0.9420 	 0.6668
[2025/05/28 21:05:26] - 7 	 0.100 	 21.8 	 0.7559 	 0.7342 	 0.0240 	 0.9929 	 0.7716 	 0.7307
[2025/05/28 21:05:48] - 8 	 0.100 	 21.7 	 0.6856 	 0.7593 	 0.0013 	 0.9996 	 0.7285 	 0.7443
[2025/05/28 21:06:09] - 9 	 0.100 	 21.7 	 0.6200 	 0.7848 	 0.0020 	 0.9991 	 0.6662 	 0.7689
[2025/05/28 21:06:31] - 10 	 0.100 	 21.7 	 0.5577 	 0.8056 	 0.0267 	 0.9920 	 0.6250 	 0.7873
[2025/05/28 21:06:53] - 11 	 0.100 	 21.7 	 0.5122 	 0.8225 	 0.1147 	 0.9709 	 0.6205 	 0.7835
[2025/05/28 21:07:14] - 12 	 0.100 	 21.7 	 0.4865 	 0.8301 	 0.0053 	 0.9987 	 0.6033 	 0.7967
