[2025/05/29 10:47:39] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:47:39] - 0.01 	 0.10 	 7.97 	 108      	 0.9740 	 0.9333

[2025/05/29 10:47:48] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:47:48] - 0.01 	 0.11 	 7.59 	 117      	 0.9858 	 0.9333

[2025/05/29 10:47:56] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:47:56] - 0.01 	 0.12 	 7.60 	 124      	 0.9004 	 0.9318

[2025/05/29 10:48:05] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:48:05] - 0.01 	 0.13 	 7.83 	 130      	 0.7047 	 0.9291

[2025/05/29 10:48:14] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:48:14] - 0.01 	 0.14 	 7.68 	 141      	 0.7903 	 0.9279

[2025/05/29 10:48:22] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:48:22] - 0.01 	 0.15 	 7.61 	 146      	 0.7724 	 0.9261

[2025/05/29 10:48:32] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:48:32] - 0.01 	 0.16 	 8.72 	 161      	 0.5330 	 0.9259

[2025/05/29 10:48:41] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:48:41] - 0.01 	 0.17 	 7.71 	 167      	 0.4741 	 0.9252

[2025/05/29 10:48:50] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:48:50] - 0.01 	 0.18 	 7.74 	 172      	 0.4198 	 0.9256

[2025/05/29 10:48:58] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 10:48:58] - 0.01 	 0.19 	 7.67 	 176      	 0.4143 	 0.9248

[2025/05/29 10:49:07] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
